,"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,
1,http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,
2,Compendium of Tourism Statistics - Basic data and indicators,,,,,,
3,Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,
182,694,Sierra Leone,53,31,60,59,66
183,702,Singapore,15095,15231,16403,17425,18508
184,658,Sint Eustatius,..,..,..,..,..
185,663,Sint Maarten (Dutch Part),2502,2407,2197,1640,1775
186,703,Slovakia,17400,21550,23092,..,..
187,705,Slovenia,..,..,..,..,..
188,90,Solomon Islands,..,..,..,..,..
189,706,Somalia,..,..,..,..,..
190,710,South Africa,14530,13952,15121,14975,15004
191,728,South Sudan,..,..,..,..,..
192,724,Spain,107144,109834,115561,121717,124060
193,144,Sri Lanka,1665,1993,2168,2248,2521
194,275,State Of Palestine,2907,2054,2604,2919,3093
195,736,Sudan,..,..,..,..,..
196,740,Suriname,253,229,257,279,..
197,752,Sweden,19945,..,..,..,..
198,756,Switzerland,..,..,..,..,..
199,760,Syrian Arab Republic,..,..,..,..,..
200,158,Taiwan Province Of China,9910,10440,10690,10740,11067
201,762,Tajikistan,213,414,344,431,1035
202,834,"Tanzania, United Republic Of",1140,1137,1284,1327,1506
203,764,Thailand,..,..,..,..,..
204,807,The Former Yugoslav Republic Of Macedonia,..,..,..,..,..
205,626,Timor-Leste,..,..,..,..,..
206,768,Togo,..,..,..,..,..
207,776,Tonga,65.8,72.6,86.7,86.6,77.3
208,780,Trinidad And Tobago,455,519,492,465,501
209,788,Tunisia,..,..,..,..,..
210,792,Turkey,41627,41114,30907,37970,46113
211,795,Turkmenistan,..,..,..,..,..
212,796,Turks And Caicos Islands,1330,1316,1296,1243,1463
213,798,Tuvalu,..,..,..,..,..
214,800,Uganda,..,..,..,..,..
215,804,Ukraine,13227,13025,13734,14579,14342
216,784,United Arab Emirates,..,..,..,..,..
